"fec_id","name","candidate_fec_id","candidate_name","affiliation","office","state","district","incumbent_challenger","is_authorized_committee","is_principal_committee"
"C00726018","MCDERMOTT FOR CONGRESS","H0IN01135","MCDERMOTT, THOMAS M JR","DEM","H","IN","1 ","C",FALSE,TRUE
"C00178038","NEW HAMPSHIRE DEMOCRATIC PARTY",,,"DEM",,,,,FALSE,FALSE
"C00712935","SCHIFF - UDH JOINT COMMITTEE",,,,,,,,FALSE,FALSE
"C00678557","LAKE FOR CONGRESS","H8IN06152","LAKE, JEANNINE LEE","DEM","H","IN","6 ","O",FALSE,TRUE
"C00709600","ANAMO (AMERICA NEEDS A MAKEOVER)","P80003916","POWELL, MICHEL ANISSA I","DEM","P","US","0 ","O",FALSE,TRUE
"C00722066","GUS WILLIAMS 2020","P00013532","WILLIAMS, GUS MR.","DEM","P","US","0 ","C",FALSE,TRUE
"C00711549","AMY MCGRATH FOR SENATE, INC.","S0KY00339","MCGRATH, AMY","DEM","S","KY","0 ","C",FALSE,TRUE
"C00143230","NEW YORK STATE DEMOCRATIC COMMITTEE",,,"DEM",,,,,FALSE,FALSE
"C00638866","TAKE A SEAT AMERICA",,,,,,,,FALSE,FALSE
"C00730390","SARA GIDEON VICTORY FUND",,,,,,,,FALSE,FALSE
"C00699256","CD1 ALLIANCE ACTION",,,,,,,,FALSE,FALSE
"C00491936","COMMON SENSE COLORADO",,,,,,,,FALSE,FALSE
"C00434563","MARTIN HEINRICH FOR SENATE","S2NM00088","HEINRICH, MARTIN","DEM","S","NM","0 ","I",FALSE,TRUE
"C00286500","DOGGETT FOR CONGRESS","H4TX10028","DOGGETT, LLOYD","DEM","H","TX","35","I",FALSE,TRUE
"C00627075","LEGISLATIVE MAJORITY PAC",,,,,,,,FALSE,FALSE
"C00147512","CONGRESSIONAL BLACK CAUCUS PAC",,,,,,,,FALSE,FALSE
"C00711036","ANTHONY CARBONARO FOR CONGRESS","H0MI12150","CARBONARO, ANTHONY M","DEM","H","MI","12","C",FALSE,TRUE
"C00705350","ERICH FOR MISSOURI","H0MO04227","ARVIDSON, ERICH","DEM","H","MO","4 ","C",FALSE,TRUE
"C00672584","JOE KENNEDY HOUSE VICTORY FUND",,,,,,,,FALSE,FALSE
"C00732024","BRYAN FLETCHER FOR CONGRESS",,,"DEM",,,,,FALSE,FALSE
"C00666370","BLUE WAVE COALITION",,,,,,,,FALSE,FALSE
"C00498873","TONY CARDENAS FOR CONGRESS","H2CA28113","CARDENAS, TONY","DEM","H","CA","29","I",FALSE,TRUE
"C00649582","FRIENDS OF JERRY HILLIARD","H8MI04101","HILLIARD, JEROME C","DEM","H","MI","4 ","C",FALSE,TRUE
"C00709048","CAROL HAFNER FOR WYOMING","H0WY01010","HAFNER, CAROL","DEM","H","WY","0 ","C",FALSE,TRUE
"C00702977","MALCOLM FOR AMERICA","P00011452","OLIVER, MALCOLM KHALID","DEM","P","US","0 ","C",FALSE,TRUE
"C00630665","JUSTICE DEMOCRATS PAC",,,,,,,,FALSE,FALSE
"C00633669","BRIANNA WU FOR CONGRESS","H8MA08170","WU, BRIANNA","DEM","H","MA","8 ","C",FALSE,TRUE
"C00660696","EVERBODY VOTES",,,,,,,,FALSE,FALSE
"C00722983","DAVID BUCHWALD FOR CONGRESS","H0NY17190","BUCHWALD, DAVID","DEM","H","NY","17","C",FALSE,TRUE
"C00405233","SONOMA COUNTY DEMOCRATIC PARTY",,,"DEM",,,,,FALSE,FALSE
"C00031054","MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE",,,"DEM",,,,,FALSE,FALSE
"C00506907","ASPIRE PAC",,,,,,,,FALSE,FALSE
"C00475392","CHRIS COONS FOR DELAWARE","S0DE00092","COONS, CHRISTOPHER A.","DEM","S","DE","0 ","I",FALSE,TRUE
"C00698795","JOHN EAVES FOR CONGRESS","H0GA07216","EAVES, JOHN H DR.","DEM","H","GA","7 ","O",FALSE,TRUE
"C00616136","EQUAL ACCESS PAC",,,,,,,,FALSE,FALSE
"C00707588","JEANNE SUPIN FOR CONGRESS","H0NC05169","SUPIN, JEANNE","DEM","H","NC","5 ","C",FALSE,TRUE
"C00724468","ABE J. GARCIA FOR CONGRESS","H0NY08090","GARCIA, ABE JAMIE","DEM","H","NY","8 ","C",FALSE,TRUE
"C00313510","PASCRELL FOR CONGRESS","H6NJ08118","PASCRELL, WILLIAM J. HON. JR.","DEM","H","NJ","9 ","I",FALSE,TRUE
"C00678995","BE A HERO PAC",,,,,,,,FALSE,FALSE
"C00639146","JOSH HARDER FOR CONGRESS","H8CA10126","HARDER, JOSH","DEM","H","CA","10","I",FALSE,TRUE
"C00458000","PROGRESSIVE CHANGE CAMPAIGN COMMITTEE",,,,,,,,FALSE,FALSE
"C00710673","COMMITTEE TO ELECT KELLY NOLAND 2020","H0MI10238","NOLAND, KELLY LYNN MRS","DEM","H","MI","10","C",FALSE,TRUE
"C00718981","WARREN FOR ARIZONA",,,,,,,,FALSE,FALSE
"C00669010","COMMITTEE TO ELECT DR. ADIA WINFREY","H8AL03062","WINFREY, ADIA","DEM","H","AL","3 ","C",FALSE,TRUE
"C00525295","BALDWIN WISCONSIN VICTORY FUND","S2WI00219","BALDWIN, TAMMY","DEM","S","WI","0 ","I",FALSE,FALSE
"C00725002","FRIENDS OF SPANKY EDWARDS","H0IL17125","EDWARDS, SPANKY","DEM","H","IL","17","C",FALSE,TRUE
"C00692590","SUNSHINE ORGANIZATION FOR TREMENDOUS OPPORTUNITIES (SOTO PAC)",,,,,,,,FALSE,FALSE
"C00716050","COMMITTEE TO ELECT BARBARA MCGUIRE","H0AZ01382","MCGUIRE, BARBARA","DEM","H","AZ","1 ","C",FALSE,TRUE
"C00700922","SCOTT COOPER FOR CONGRESS","H0NC02083","COOPER, SCOTT","DEM","H","NC","2 ","C",FALSE,TRUE
"C00637850","JAMES MACKLER FOR US SENATE","S8TN00311","MACKLER, JAMES","DEM","S","TN","0 ","O",FALSE,TRUE
"C00712679","RACHEL VENTURA FOR CONGRESS","H0IL11102","VENTURA, RACHEL F","DEM","H","IL","11","C",FALSE,TRUE
"C00693713","TULSI NOW","P00009183","GABBARD, TULSI","DEM","P","US","0 ","C",FALSE,TRUE
"C00692012","ORTIZ FOR CONGRESS","H0NY15152","ORTIZ, JONATHAN","DEM","H","NY","15","O",FALSE,TRUE
"C00397505","MOORE FOR CONGRESS","H4WI04183","MOORE, GWEN S","DEM","H","WI","4 ","I",FALSE,TRUE
"C00700757","DOUG FOR MICHIGAN","H0MI03241","BOOTH, DOUGLAS JAMES","DEM","H","MI","3 ","C",FALSE,TRUE
"C00700880","APPLEFIELD4CONGRESS","H0NJ04128","APPLEFIELD, DAVID","DEM","H","NJ","4 ","C",FALSE,TRUE
"C00545202","THE CENTER FOR FREETHOUGHT EQUALITY FUND PAC",,,,,,,,FALSE,FALSE
"C00631192","ONLY IF YOU RUN",,,,,,,,FALSE,FALSE
"C00667667","BUILD THE WAVE",,,,,,,,FALSE,FALSE
"C00701698","SWALWELL FOR AMERICA","P00011312","SWALWELL, ERIC MICHAEL","DEM","P","US","0 ","C",FALSE,TRUE
"C00703074","MANSFIELD FOR NORTH CAROLINA","S0NC00327","MANSFIELD, ERIC","DEM","S","NC","0 ","C",FALSE,TRUE
"C00693788","FIERCEWITHPIERCE 2020","P00010587","PIERCE, MARK ALLAN","DEM","P","US","0 ","C",FALSE,TRUE
"C00712208","PROGRESSIVE RISING PAC",,,,,,,,FALSE,FALSE
"C00676445","BLUE HEN STATE AND LOCAL PAC",,,,,,,,FALSE,FALSE
"C00656207","CALIFORNIA DEMOCRACY VENTURES FUND",,,,,,,,FALSE,FALSE
"C00503789","DGA ACTION",,,,,,,,FALSE,FALSE
"C00683631","SHARMIN SMITH FOR PRESIDENT","P00008003","SMITH, SHARMIN LYNN","DEM","P","US","0 ","C",FALSE,TRUE
"C00718270","HANK GILBERT FOR CONGRESS","H0TX01108","GILBERT, HANK","DEM","H","TX","1 ","C",FALSE,TRUE
"C00713974","TERRANCE MORRISON FOR CONGRESS","H6MI14195","MORRISON, TERRANCE","DEM","H","MI","14","C",FALSE,TRUE
"C00637918","FRIENDS OF RD","H8VA05114","HUFFSTETLER, ROGER DEAN RD","DEM","H","VA","5 ","C",FALSE,TRUE
"C00715763","FRIENDS FOR ZAHRA KARINSHAK","H0GA07323","KARINSHAK, ZAHRA S.","DEM","H","GA","7 ","O",FALSE,TRUE
"C00712349","SARAH RIGGS AMICO FOR GEORGIA, INC.","S0GA00401","RIGGS AMICO, SARAH","DEM","S","GA","0 ","C",FALSE,TRUE
"C00724781","STAND UP FOR WORKERS PAC",,,,,,,,FALSE,FALSE
"C00637504","SOCIAL SECURITY WORKS PAC",,,,,,,,FALSE,FALSE
"C00719286","ROSE SLOTKIN VICTORY FUND",,,,,,,,FALSE,FALSE
"C00507368","BEATTY FOR CONGRESS","H2OH03125","BEATTY, JOYCE","DEM","H","OH","3 ","I",FALSE,TRUE
"C00708321","VIKTOR J. VALENCIA AVALOS FOR CONGRESS","H0TX33028","VALENCIA AVALOS, VIKTOR J.","DEM","H","TX","33","C",FALSE,TRUE
"C00446237","NATIONAL NURSES UNITED PAC - A FUND FOR A HEALTHY AMERICA",,,,,,,,FALSE,FALSE
"C00720482","BECKY GROSSMAN FOR CONGRESS","H0MA04168","GROSSMAN, REBECCA WALKER","DEM","H","MA","4 ","C",FALSE,TRUE
"C00722496","TAKE BACK THE WHITE HOUSE",,,,,,,,FALSE,FALSE
"C00648287","THE COMMITTEE TO ELECT LISA RING, LLC","H8GA01063","RING, LISA M. MS.","DEM","H","GA","1 ","C",FALSE,TRUE
"C00010439","IDAHO STATE DEMOCRATIC PARTY",,,"DEM",,,,,FALSE,FALSE
"C00068353","LEAHY FOR U.S. SENATOR COMMITTEE","S4VT00017","LEAHY, PATRICK J","DEM","S","VT","0 ","I",FALSE,FALSE
"C00157941","PEACE ACTION PAC/ FKA SANE/FREEZE PAC",,,,,,,,FALSE,FALSE
"C00695973","LOWEY MAJORITY FUND",,,,,,,,FALSE,FALSE
"C00728949","ADAM AARONS FOR CONGRESS","H0FL21102","AARONS, ADAM","DEM","H","FL","21","C",FALSE,TRUE
"C00275297","CITIZEN ACTION OF NEW YORK INC PAC (CITIZEN ACTION OF NY PAC)",,,,,,,,FALSE,FALSE
"C00723882","DIANA FOR SENATE 2020","S0TN00193","ONYEJIAKA, DIANA CHIOMA","DEM","S","TN","0 ","O",FALSE,TRUE
"C00721597","LAURA JONES FOR CONGRESS","H0TX08145","JONES, LAURA","DEM","H","TX","8 ","C",FALSE,TRUE
"C00714220","ILLINOIS DEMOCRATS 2020",,,,,,,,FALSE,FALSE
"C00603720","WEST DES MOINES DEMOCRATS",,,,,,,,FALSE,FALSE
"C00697441","PETE FOR AMERICA, INC.","P00010298","BUTTIGIEG, PETE","DEM","P","US","0 ","C",FALSE,TRUE
"C00188193","WOMEN'S POLITICAL COMMITTEE",,,"DEM",,,,,FALSE,FALSE
"C00628776","PRINCESS FOR PRESIDENT 2020",,,"DEM",,,,,FALSE,FALSE
"C00426809","MADISON PAC; THE",,,,,,,,FALSE,FALSE
"C00416347","DEMOCRATIC WOMEN OF THE DESERT",,,"DEM",,,,,FALSE,FALSE
"C00697987","ZINA SPEZAKIS FOR CONGRESS","H0NJ09176","SPEZAKIS, ZINOVIA","DEM","H","NJ","9 ","C",FALSE,TRUE
"C00638320","DAGA PAC",,,,,,,,FALSE,FALSE
"C00727321","COMMITTEE TO ELECT RYAN HALL TO CONGRESS","H0MI07143","HALL, RYAN WILLIAM","DEM","H","MI","7 ","C",FALSE,TRUE
"C00719732","ERIC ROTHMULLER FOR KENTUCKY","S0KY00388","ROTHMULLER, ERIC","DEM","S","KY","0 ","C",FALSE,TRUE
"C00555888","FRIENDS OF DON BEYER","H4VA08224","BEYER, DONALD STERNOFF HONORABLE JR.","DEM","H","VA","8 ","I",FALSE,TRUE
"C00629402","EQUALITY RULES",,,,,,,,FALSE,FALSE
"C00685743","EMANUEL GONZALES COMMITTEE TO ELECT FOR CONGRESS","H0CA32333","GONZALES, EMANUEL LAWRENCE MR","DEM","H","CA","32","C",FALSE,TRUE
"C00721274","JESSICA KING FOR WISCONSIN","H0WI06186","KING, JESSICA JEANE MS","DEM","H","WI","6 ","C",FALSE,TRUE
"C00413914","GILLIBRAND FOR SENATE","S0NY00410","GILLIBRAND, KIRSTEN","DEM","S","NY","0 ",,FALSE,TRUE
"C00511915","AMERICAN WORKING FAMILIES",,,,,,,,FALSE,FALSE
"C00727990","GUS FOR CONGRESS","H0TX13152","TRUJILLO, GUS LUIS","DEM","H","TX","13","O",FALSE,TRUE
"C00543579","MIND MATTERS FEDERAL PAC",,,,,,,,FALSE,FALSE
"C00725739","SALEM FOR CONGRESS","H0PA02091","SNOW, SALEM","DEM","H","PA","2 ","C",FALSE,TRUE
"C00701185","JOSE FOR CONGRESS","H0CA53073","RAMON CABALLERO, JOSE IIII","DEM","H","CA","53","O",FALSE,TRUE
"C00697334","MCCORKLE FOR COLORADO","H0CO04197","MCCORKLE, ISAAC IAN","DEM","H","CO","4 ","C",FALSE,TRUE
"C00403592","NARRAGANSETT BAY PAC",,,,,,,,FALSE,FALSE
"C00718304","YOU JUST CANT TRUST HIM SUPER PAC",,,,,,,,FALSE,FALSE
"C00495861","PRIORITIES USA ACTION",,,,,,,,FALSE,FALSE
"C00179408","MAINE DEMOCRATIC PARTY",,,"DEM",,,,,FALSE,FALSE
"C00693655","ZOE 2020",,,,,,,,FALSE,FALSE
"C00566059","NEW ENERGY PAC",,,,,,,,FALSE,FALSE
"C00427856","SANTA BARBARA COUNTY DEMOCRATIC CENTRAL COMMITTEE FEDERAL PAC",,,"DEM",,,,,FALSE,FALSE
"C00710376","AL ROBERTSON FOR CONGRESS TX3","H0TX03104","ROBERTSON, AL DEAN","DEM","H","TX","3 ","C",FALSE,TRUE
"C00696492","HUFFMAN FOR NC","H8NC08109","HUFFMAN, SCOTT","DEM","H","NC","13","C",FALSE,TRUE
"C00729699","RAMIN FOR CONGRESS","H0SC05049","MAMMADOV, RAMIN","DEM","H","SC","5 ","C",FALSE,TRUE
"C00708404","IVAN TORRES 2020","H0CA19207","TORRES, IVAN","DEM","H","CA","19","C",FALSE,TRUE
"C00718577","AUSTIN INTAL FOR CONGRESS 2020","H0CA15254","INTAL, AUSTIN","DEM","H","CA","15","O",FALSE,TRUE
"C00715565","MASSACHUSETTS ANTI-LEADERSHIP FUND",,,,,,,,FALSE,FALSE
"C00558320","DONALD NORCROSS FOR CONGRESS","H4NJ01084","NORCROSS, DONALD W","DEM","H","NJ","1 ","I",FALSE,TRUE
"C00633248","314 ACTION FUND",,,,,,,,FALSE,FALSE
"C00685552","MEDICARE FOR ALL",,,,,,,,FALSE,FALSE
"C00709899","SARA GIDEON FOR MAINE","S0ME00111","GIDEON, SARA","DEM","S","ME","0 ","C",FALSE,TRUE
"C00306035","SECOND CONGRESSIONAL DISTRICT DEMOCRATIC PARTY",,,"DEM",,,,,FALSE,FALSE
"C00565929","BUTTE COUNTY DEMOCRATIC CENTRAL COMMITTEE",,,"DEM",,,,,FALSE,FALSE
"C00700674","ONCE YOU GO BLACK POLITICAL ACTION COMMITTEE",,,,,,,,FALSE,FALSE
"C00406553","PROGRESSIVE VOTERS OF AMERICA",,,,,,,,FALSE,FALSE
"C00166710","ARIZONA DEMOCRATIC PARTY",,,"DEM",,,,,FALSE,FALSE
"C00571174","SERVE AMERICA PAC",,,,,,,,FALSE,FALSE
"C00708859","ALP BASARAN FOR CONGRESS A NJ NONPROFIT CORPORATION","H0NJ09184","BASARAN, ALPASLAN","DEM","H","NJ","9 ","C",FALSE,TRUE
"C00678938","PRESIDENT DONNA JEAN ALSTON","H0DC00173","ALSTON, DONNA JEAN","DEM","H","DC","0 ","C",FALSE,TRUE
"C00663633","ALLIANCE FOR GUN RESPONSIBILITY FEDERAL VICTORY FUND",,,,,,,,FALSE,FALSE
"C00311639","DIANA DEGETTE FOR CONGRESS","H6CO01141","DEGETTE, DIANA L","DEM","H","CO","1 ","I",FALSE,TRUE
"C00717298","RANDY HOPKINS FOR CONGRESS 2020","H8UT02271","HOPKINS, RANDY","DEM","H","UT","2 ","C",FALSE,TRUE
"C00578013","LEGITPAC","S8WI00026","FEINGOLD, RUSSELL DANA","DEM","S","WI","0 ","C",FALSE,FALSE
"C00718379","ANDERSON FOR US CONGRESS","H0FL02193","ANDERSON, WILLIE JEFFERSON JR","DEM","H","FL","2 ","C",FALSE,TRUE
"C00460972","BLUE WAVE PROJECT",,,,,,,,FALSE,FALSE
"C00709311","ANTONIO HICKS FOR CONGRESS","H0GA04122","HICKS, ANTONIO CORTEZ","DEM","H","GA","4 ","C",FALSE,TRUE
"C00672295","FRIENDS OF LUCY MCBATH","H8GA06393","MCBATH, LUCIA KAY MS.","DEM","H","GA","6 ","I",FALSE,TRUE
"C00668608","RASHIDA TLAIB FOR CONGRESS","H8MI13250","TLAIB, RASHIDA","DEM","H","MI","13","I",FALSE,TRUE
"C00149641","MISSISSIPPI DEMOCRATIC PARTY",,,"DEM",,,,,FALSE,FALSE
"C00730721","RODERICK SELLERS FOR GEORGIA","H0GA11051","SELLERS, RODERICK","DEM","H","GA","11","C",FALSE,TRUE
"C00724906","VICTORY FOR NEW YORK FUND",,,,,,,,FALSE,FALSE
"C00708529","BOBBY BLIATOUT FOR CONGRESS","H8CA22154","BLIATOUT, BOBBY","DEM","H","CA","22","C",FALSE,TRUE
"C00011197","KENTUCKY STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE",,,"DEM",,,,,FALSE,FALSE
"C00419630","YARMUTH FOR CONGRESS","H6KY03124","YARMUTH, JOHN","DEM","H","KY","3 ","I",FALSE,TRUE
"C00363648","FIRST STATE PAC",,,,,,,,FALSE,FALSE
"C00167320","CONNECTICUT DEMOCRATIC STATE CENTRAL COMMITTEE",,,"DEM",,,,,FALSE,FALSE
"C00725390","XOCHITL FOR NEW MEXICO VICTORY FUND 2020",,,,,,,,FALSE,FALSE
"C00715656","CROW/NEGUSE VICTORY FUND",,,,,,,,FALSE,FALSE
"C00706317","A WHOLE LOT OF FOLKS FOR WILMOT COLLINS","S0MT00090","COLLINS, WILMOT JAMES","DEM","S","MT","0 ","C",FALSE,TRUE
"C00447185","LAGUNA WOODS DEMOCRATIC CLUB",,,,,,,,FALSE,FALSE
"C00575662","THE US CAMPAIGN FUND",,,,,,,,FALSE,FALSE
"C00720771","NATIONALSERVICEUSA",,,,,,,,FALSE,FALSE
"C00708552","ABOLISH THE ELECTORAL COLLEGE",,,,,,,,FALSE,FALSE
"C00257642","PEOPLE FOR PATTY MURRAY","S2WA00189","MURRAY, PATTY","DEM","S","WA","0 ","I",FALSE,FALSE
"C00501858","EAST BAY YOUNG DEMOCRATS - FEDERAL",,,,,,,,FALSE,FALSE
"C00716076","COMMITTEE TO ELECT JASON CALL","H0WA02189","CALL, JASON","DEM","H","WA","2 ","C",FALSE,TRUE
"C00713495","EVERYDAY JUNETEENTH!",,,,,,,,FALSE,FALSE
"C00717157","FRANKEN FOR IOWA","S0IA00200","FRANKEN, MICHAEL","DEM","S","IA","0 ","C",FALSE,TRUE
"C00706697","DE BLASIO 2020","P00012054","DE BLASIO, BILL","DEM","P","US","0 ","C",FALSE,TRUE
"C00709501","MAEBE A. GIRL FOR CONGRESS","H0CA28174","PUDLO, G MAEBE A. GIRL","DEM","H","CA","28","C",FALSE,TRUE
"C00395889","TENTH CONGRESSIONAL DISTRICT DEMOCRATS - ILLINOIS",,,,,,,,FALSE,FALSE
"C00589309","BLUE MOMENTUM PAC",,,,,,,,FALSE,FALSE
"C00727693","EVELYN FOR NY","H0NY17265","FARKAS, EVELYN","DEM","H","NY","17","C",FALSE,TRUE
